case,batch_id,timestamp,t_pct,phase,temp_C,pressure_bar,pH,agitator_rpm,feed_A_Lph,feed_B_Lph,power_kW
C,C_B001,2026-01-15T06:00:00,0.0,Charge,22.954324231611352,1.0293035565495594,5.601854862311859,153.37975344263455,21.14021449910885,14.829926777642399,18.286262437751077
C,C_B001,2026-01-15T06:08:25.310320,0.7194244604316546,Charge,22.212467625470243,1.0075195055659045,5.583958483809433,146.72890494085058,20.6785195136095,14.538428841444306,18.701192884446883
C,C_B001,2026-01-15T06:16:50.620641,1.4388489208633093,Charge,22.31076685177126,1.0069833879599235,5.607761016371016,143.88134965634998,20.50856978307239,13.962933389597403,18.483712044217423
C,C_B001,2026-01-15T06:25:15.930961,2.158273381294964,Charge,23.423010151184883,1.0015728058265534,5.6430558143770755,153.53860910161174,18.956594860771116,15.341145245397378,18.847063621913374
C,C_B001,2026-01-15T06:33:41.241281,2.8776978417266186,Charge,21.79099366225461,1.0289060268664072,5.6021785093950855,147.88292502975096,20.381800234529656,15.47490173617313,18.52783105538083
C,C_B001,2026-01-15T06:42:06.551602,3.597122302158273,Charge,22.452962885374554,1.0206034371680985,5.5986077674196695,142.70169744515482,20.435073713280403,14.98926322982622,18.519970738075838
C,C_B001,2026-01-15T06:50:31.861922,4.316546762589928,Charge,22.588814302646966,1.026004231679578,5.697918699890628,157.11388536151003,20.061674983274433,15.870792829104666,19.742915076374363
C,C_B001,2026-01-15T06:58:57.172242,5.0359712230215825,Charge,24.321038324284775,1.0566379598030506,5.644375213611081,146.38447952189208,19.475137092774844,15.861504111544363,19.48463823566388
C,C_B001,2026-01-15T07:07:22.482563,5.755395683453237,Charge,23.339029069085125,1.0426773547912078,5.5663049175910055,150.86698900488062,20.796190330248255,16.016207378799486,19.17105262938614
C,C_B001,2026-01-15T07:15:47.792883,6.474820143884892,Charge,23.417627668917568,1.053567555123007,5.6096939512683335,145.22418003220923,20.025521246387576,15.609953115412926,18.914319492584173
